id,title,authors,published,year,categories,arxiv_url,pdf_url,code,_domains,_tasks,publication
2604.17122v1,Multimodal Fusion of Histopathology Images and Electronic Health Records for Early Breast Cancer Diagnosis,Aditya Shribhagwan Khandelwal; Mohammad Samar Ansari; Asra Aslam,2026-04-18,2026,cs.CV,http://arxiv.org/abs/2604.17122v1,https://arxiv.org/pdf/2604.17122v1,,medical_ai,Pathology; Cancer; Clinical,
2604.16554v1,PA-TCNet: Pathology-Aware Temporal Calibration with Physiology-Guided Target Refinement for Cross-Subject Motor Imagery EEG Decoding in Stroke Patients,Xiangkai Wang; Yun Zhao; Dongyi He; Qingling Xia; Gen Li; Nizhuan Wang; Ningxiao Peng; Bin Jiang,2026-04-17,2026,cs.CV; cs.AI,http://arxiv.org/abs/2604.16554v1,https://arxiv.org/pdf/2604.16554v1,https://github.com/wxk1224/PA-TCNet,medical_ai,Pathology; HealthMon,
2604.15777v1,SegMix:Shuffle-based Feedback Learning for Semantic Segmentation of Pathology Images,Zhiling Yan; Sicheng Chen; Tianyi Zhang; Nan Ying; Yanli Lei; Guanglei Zhang,2026-04-17,2026,cs.CV; cs.AI,http://arxiv.org/abs/2604.15777v1,https://arxiv.org/pdf/2604.15777v1,,medical_ai,Pathology; MedImg; Clinical; HealthMon,
2604.15711v1,SSMamba: A Self-Supervised Hybrid State Space Model for Pathological Image Classification,Enhui Chai; Sicheng Chen; Tianyi Zhang; Xingyu Li; Tianxiang Cui,2026-04-17,2026,cs.CV; cs.AI,http://arxiv.org/abs/2604.15711v1,https://arxiv.org/pdf/2604.15711v1,,medical_ai,Pathology; Clinical,
2604.14815v1,Domain Fine-Tuning FinBERT on Finnish Histopathological Reports: Train-Time Signals and Downstream Correlations,Rami Luisto; Liisa Petäinen; Tommi Grönholm; Jan Böhm; Maarit Ahtiainen; Tomi Lilja; Ilkka Pölönen; Sami Äyrämö,2026-04-16,2026,cs.CL,http://arxiv.org/abs/2604.14815v1,https://arxiv.org/pdf/2604.14815v1,,medical_ai,Pathology,
2604.13479v1,Learning Class Difficulty in Imbalanced Histopathology Segmentation via Dynamic Focal Attention,Lakmali Nadeesha Kumari; Sen-Ching Samson Cheung,2026-04-15,2026,eess.IV; cs.CV,http://arxiv.org/abs/2604.13479v1,https://arxiv.org/pdf/2604.13479v1,,medical_ai,Pathology; MedImg; HealthMon,
2604.09468v1,DSVTLA: Deep Swin Vision Transformer-Based Transfer Learning Architecture for Multi-Type Cancer Histopathological Cancer Image Classification,Muazzem Hussain Khan; Tasdid Hasnain; Md. Jamil khan; Ruhul Amin; Md. Shamim Reza; Md. Al Mehedi Hasan; Md Ashad Alam,2026-04-10,2026,eess.IV; cs.CV,http://arxiv.org/abs/2604.09468v1,https://arxiv.org/pdf/2604.09468v1,,medical_ai,Pathology; Cancer; Clinical,
2604.09197v1,Vision Transformers for Preoperative CT-Based Prediction of Histopathologic Chemotherapy Response Score in High-Grade Serous Ovarian Carcinoma,Francesca Fati; Felipe Coutinho; Marika Reinius; Marina Rosanu; Gabriel Funingana; Luigi De Vitis; Gabriella Schivardi; Hannah Clayton; Alice Traversa; Zeyu Gao,2026-04-10,2026,cs.CV; cs.AI,http://arxiv.org/abs/2604.09197v1,https://arxiv.org/pdf/2604.09197v1,,medical_ai,Pathology,
2604.09169v1,UniSemAlign: Text-Prototype Alignment with a Foundation Encoder for Semi-Supervised Histopathology Segmentation,Le-Van Thai; Tien Dat Nguyen; Hoai Nhan Pham; Lan Anh Dinh Thi; Duy-Dong Nguyen; Ngoc Lam Quang Bui,2026-04-10,2026,cs.CV,http://arxiv.org/abs/2604.09169v1,https://arxiv.org/pdf/2604.09169v1,https://github.com/thailevann/UniSemAlign,medical_ai,Pathology; MedImg,
2604.08305v1,HistDiT: A Structure-Aware Latent Conditional Diffusion Model for High-Fidelity Virtual Staining in Histopathology,Aasim Bin Saleem; Amr Ahmed; Ardhendu Behera; Hafeezullah Amin; Iman Yi Liao; Mahmoud Khattab; Pan Jia Wern; Haslina Makmur,2026-04-09,2026,eess.IV; cs.AI; cs.CV; cs.ET; cs.LG; q-bio.QM,http://arxiv.org/abs/2604.08305v1,https://arxiv.org/pdf/2604.08305v1,,medical_ai,Pathology; Cancer,
2604.07779v2,Plug-and-Play Logit Fusion for Heterogeneous Pathology Foundation Models,Gexin Huang; Anqi Li; Yusheng Tan; Beidi Zhao; Gang Wang; Zu-Hua Gao; Xiaoxiao Li,2026-04-09,2026,cs.CV,http://arxiv.org/abs/2604.07779v2,https://arxiv.org/pdf/2604.07779v2,,medical_ai,Pathology,
2604.06390v2,MorphDistill: Distilling Unified Morphological Knowledge from Pathology Foundation Models for Colorectal Cancer Survival Prediction,Hikmat Khan; Usama Sajjad; Metin N. Gurcan; Anil Parwani; Wendy L. Frankel; Wei Chen; Muhammad Khalid Khan Niazi,2026-04-07,2026,cs.CV; cs.AI,http://arxiv.org/abs/2604.06390v2,https://arxiv.org/pdf/2604.06390v2,,medical_ai,Pathology; Cancer,
2604.04168v2,A Semi-Automated Annotation Workflow for Paediatric Histopathology Reports Using Small Language Models,Avish Vijayaraghavan; Jaskaran Singh Kawatra; Sebin Sabu; Jonny Sheldon; Will Poulett; Alex Eze; Daniel Key; John Booth; Shiren Patel; Jonny Pearson,2026-04-05,2026,cs.CL; cs.IR,http://arxiv.org/abs/2604.04168v2,https://arxiv.org/pdf/2604.04168v2,https://github.com/gosh-dre/nlp_renal_biopsy,medical_ai,Pathology,
2604.03635v1,A Generative Foundation Model for Multimodal Histopathology,Jinxi Xiang; Mingjie Li; Siyu Hou; Yijiang Chen; Xiangde Luo; Yuanfeng Ji; Xiang Zhou; Ehsan Adeli; Akshay Chaudhari; Curtis P. Langlotz,2026-04-04,2026,cs.CV; cs.AI,http://arxiv.org/abs/2604.03635v1,https://arxiv.org/pdf/2604.03635v1,,medical_ai,Pathology; Clinical,
2604.01798v2,A deep learning pipeline for PAM50 subtype classification using histopathology images and multi-objective patch selection,Arezoo Borji; Gernot Kronreif; Bernhard Angermayr; Francisco Mario Calisto; Wolfgang Birkfellner; Inna Servetnyk; Yinyin Yuan; Sepideh Hatamikia,2026-04-02,2026,cs.CV; cs.AI,http://arxiv.org/abs/2604.01798v2,https://arxiv.org/pdf/2604.01798v2,,medical_ai,Pathology; Cancer; Clinical,
2603.29968v1,"Trimodal Deep Learning for Glioma Survival Prediction: A Feasibility Study Integrating Histopathology, Gene Expression, and MRI",Iain Swift; JingHua Ye,2026-03-31,2026,cs.CV; cs.AI,http://arxiv.org/abs/2603.29968v1,https://arxiv.org/pdf/2603.29968v1,,medical_ai,Pathology; MedImg; Protein,
2603.27625v1,Clore: Interactive Pathology Image Segmentation with Click-based Local Refinement,Tiantong Wang; Minfan Zhao; Jun Shi; Hannan Wang; Yue Dai,2026-03-29,2026,cs.CV,http://arxiv.org/abs/2603.27625v1,https://arxiv.org/pdf/2603.27625v1,,medical_ai,Pathology; MedImg,
2603.27048v2,MOOZY: A Patient-First Foundation Model for Computational Pathology,Yousef Kotp; Vincent Quoc-Huy Trinh; Christopher Pal; Mahdi S. Hosseini,2026-03-27,2026,cs.CV,http://arxiv.org/abs/2603.27048v2,https://arxiv.org/pdf/2603.27048v2,,medical_ai,Pathology,
2603.25802v1,LEMON: a foundation model for nuclear morphology in Computational Pathology,Loïc Chadoutaud; Alice Blondel; Hana Feki; Jacqueline Fontugne; Emmanuel Barillot; Thomas Walter,2026-03-26,2026,cs.CV,http://arxiv.org/abs/2603.25802v1,https://arxiv.org/pdf/2603.25802v1,https://huggingface.co/aliceblondel,medical_ai,Pathology,
2603.26809v1,Dictionary-based Pathology Mining with Hard-instance-assisted Classifier Debiasing for Genetic Biomarker Prediction from WSIs,Ling Zhang; Boxiang Yun; Ting Jin; Qingli Li; Xinxing Li; Yan Wang,2026-03-26,2026,q-bio.QM; cs.CV; cs.LG,http://arxiv.org/abs/2603.26809v1,https://arxiv.org/pdf/2603.26809v1,https://github.com/DeepMed-Lab-ECNU/D2Bio,medical_ai,Pathology; Cancer; Clinical; HealthMon,
2603.24847v1,CORA: A Pathology Synthesis Driven Foundation Model for Coronary CT Angiography Analysis and MACE Risk Assessment,Jinkui Hao; Gorkem Durak; Halil Ertugrul Aktas; Ulas Bagci; Bradley D. Allen; Nilay S. Shah; Bo Zhou,2026-03-25,2026,cs.CV,http://arxiv.org/abs/2603.24847v1,https://arxiv.org/pdf/2603.24847v1,,medical_ai,Pathology; MedImg,
2603.20383v1,Multi-Stage Fine-Tuning of Pathology Foundation Models with Head-Diverse Ensembling for White Blood Cell Classification,Antony Gitau; Martin Paulson; Bjørn-Jostein Singstad; Karl Thomas Hjelmervik; Ola Marius Lysaker; Veralia Gabriela Sanchez,2026-03-20,2026,cs.CV,http://arxiv.org/abs/2603.20383v1,https://arxiv.org/pdf/2603.20383v1,,medical_ai,Pathology; Clinical,Cell
2603.20148v1,Can Large Multimodal Models Inspect Buildings? A Hierarchical Benchmark for Structural Pathology Reasoning,Hui Zhong; Yichun Gao; Luyan Liu; Hai Yang; Wang Wang; Haowei Zhang; Xinhu Zheng,2026-03-20,2026,cs.CV,http://arxiv.org/abs/2603.20148v1,https://arxiv.org/pdf/2603.20148v1,,medical_ai,Pathology; MedImg,
2603.19957v1,HiPath: Hierarchical Vision-Language Alignment for Structured Pathology Report Prediction,Ruicheng Yuan; Zhenxuan Zhang; Anbang Wang; Liwei Hu; Xiangqian Hua; Yaya Peng; Jiawei Luo; Guang Yang,2026-03-20,2026,cs.CV; cs.AI; cs.LG,http://arxiv.org/abs/2603.19957v1,https://arxiv.org/pdf/2603.19957v1,,medical_ai,Pathology; Clinical,
2603.20326v1,Prompt-Free Lightweight SAM Adaptation for Histopathology Nuclei Segmentation with Strong Cross-Dataset Generalization,Muhammad Hassan Maqsood; Yanming Zhu; Alfred Lam; Getamesay Dagnaw; Xuefei Yin; Alan Wee-Chung Liew,2026-03-20,2026,cs.CV,http://arxiv.org/abs/2603.20326v1,https://arxiv.org/pdf/2603.20326v1,,medical_ai,Pathology; MedImg; Cancer; Clinical,
2603.18896v1,Translating MRI to PET through Conditional Diffusion Models with Enhanced Pathology Awareness,Yitong Li; Igor Yakushev; Dennis M. Hedderich; Christian Wachinger,2026-03-19,2026,cs.CV; cs.AI,http://arxiv.org/abs/2603.18896v1,https://arxiv.org/pdf/2603.18896v1,https://github.com/ai-med/PASTA,medical_ai,Pathology; MedImg; Clinical,
2603.18755v1,Spreading of pathological proteins through brain networks: a case study for Alzheimers disease,G. Landi; A. Scaravelli; M. C. Tesi; C. Testa,2026-03-19,2026,math.AP,http://arxiv.org/abs/2603.18755v1,https://arxiv.org/pdf/2603.18755v1,,medical_ai,Pathology; HealthMon,
2603.18513v1,CAFlow: Adaptive-Depth Single-Step Flow Matching for Efficient Histopathology Super-Resolution,Elad Yoshai; Ariel D. Yoshai; Natan T. Shaked,2026-03-19,2026,cs.CV; cs.AI,http://arxiv.org/abs/2603.18513v1,https://arxiv.org/pdf/2603.18513v1,,medical_ai,Pathology; MedImg; HealthMon,
2603.18461v1,Cell-Type Prototype-Informed Neural Network for Gene Expression Estimation from Pathology Images,Kazuya Nishimura; Ryoma Bise; Shinnosuke Matsuo; Haruka Hirose; Yasuhiro Kojima,2026-03-19,2026,cs.CV,http://arxiv.org/abs/2603.18461v1,https://arxiv.org/pdf/2603.18461v1,https://github.com/naivete5656/CPNN,medical_ai,Pathology,Cell
2603.18343v1,VISTA: Validation-Guided Integration of Spatial and Temporal Foundation Models with Anatomical Decoding for Rare-Pathology VCE Event Detection,Bo-Cheng Qiu; Yu-Fan Lin; Yu-Zhe Pien; Chia-Ming Lee; Fu-En Yang; Yu-Chiang Frank Wang; Chih-Chung Hsu,2026-03-18,2026,cs.CV,http://arxiv.org/abs/2603.18343v1,https://arxiv.org/pdf/2603.18343v1,,medical_ai,Pathology,
2603.18089v1,CytoSyn: a Foundation Diffusion Model for Histopathology -- Tech Report,Thomas Duboudin; Xavier Fontaine; Etienne Andrier; Lionel Guillou; Alexandre Filiot; Thalyssa Baiocco-Rodrigues; Antoine Olivier; Alberto Romagnoni; John Klein; Jean-Baptiste Schiratti,2026-03-18,2026,cs.CV; cs.AI; cs.LG,http://arxiv.org/abs/2603.18089v1,https://arxiv.org/pdf/2603.18089v1,https://huggingface.co/Owkin-Bioptimus,medical_ai,Pathology; MedImg; Cancer,
2603.17248v1,Pathology-Aware Multi-View Contrastive Learning for Patient-Independent ECG Reconstruction,Youssef Youssef; Jitin Singla,2026-03-18,2026,cs.LG; cs.AI,http://arxiv.org/abs/2603.17248v1,https://arxiv.org/pdf/2603.17248v1,,medical_ai,Pathology,
2603.16113v1,PathGLS: Evaluating Pathology Vision-Language Models without Ground Truth through Multi-Dimensional Consistency,Minbing Chen; Zhu Meng; Fei Su,2026-03-17,2026,cs.CV; cs.AI,http://arxiv.org/abs/2603.16113v1,https://arxiv.org/pdf/2603.16113v1,https://github.com/My13ad/PathGLS,medical_ai,Pathology,
2603.15967v2,A Comprehensive Benchmark of Histopathology Foundation Models for Kidney Digital Pathology Images,Harishwar Reddy Kasireddy; Patricio S. La Rosa; Akshita Gupta; Anindya S. Paul; Jamie L. Fermin; William L. Clapp; Meryl A. Waldman; Tarek M. El-Ashkar; Sanjay Jain; Luis Rodrigues,2026-03-16,2026,cs.CV,http://arxiv.org/abs/2603.15967v2,https://arxiv.org/pdf/2603.15967v2,,medical_ai,Pathology; Clinical,
2603.15100v1,Learning from Limited and Incomplete Data: A Multimodal Framework for Predicting Pathological Response in NSCLC,Alice Natalina Caragliano; Giulia Farina; Fatih Aksu; Camillo Maria Caruso; Claudia Tacconi; Carlo Greco; Lorenzo Nibid; Edy Ippolito; Michele Fiore; Giuseppe Perrone,2026-03-16,2026,cs.CV,http://arxiv.org/abs/2603.15100v1,https://arxiv.org/pdf/2603.15100v1,,medical_ai,Pathology; Cancer; HealthMon,
2603.14897v1,BiTro: Bidirectional Transfer Learning Enhances Bulk and Spatial Transcriptomics Prediction in Cancer Pathological Images,Jingkun Yu; Guangkai Shang; Changtao Li; Xun Gong; Tianrui Li; Yazhou He; Zhipeng Luo,2026-03-16,2026,cs.LG,http://arxiv.org/abs/2603.14897v1,https://arxiv.org/pdf/2603.14897v1,,medical_ai,Pathology,
2603.14416v1,"Histo-MExNet: A Unified Framework for Real-World, Cross-Magnification, and Trustworthy Breast Cancer Histopathology",Enam Ahmed Taufika; Md Ahasanul Arafatha; Abhijit Kumar Ghoshb; Md. Tanzim Rezab; Md Ashad Alamc,2026-03-15,2026,cs.CV,http://arxiv.org/abs/2603.14416v1,https://arxiv.org/pdf/2603.14416v1,,physical_ai; medical_ai,PINN; Pathology; Cancer; Clinical,
2603.14409v1,PGcGAN: Pathological Gait-Conditioned GAN for Human Gait Synthesis,Mritula Chandrasekaran; Sanket Kachole; Jarek Francik; Dimitrios Makris,2026-03-15,2026,cs.CV; cs.AI,http://arxiv.org/abs/2603.14409v1,https://arxiv.org/pdf/2603.14409v1,,medical_ai,Pathology,
2603.13787v1,"Advancing Cancer Prognosis with Hierarchical Fusion of Genomic, Proteomic and Pathology Imaging Data from a Systems Biology Perspective",Junjie Zhou; Bao Xue; Meiling Wang; Wei Shao; Daoqiang Zhang,2026-03-14,2026,cs.CV,http://arxiv.org/abs/2603.13787v1,https://arxiv.org/pdf/2603.13787v1,,medical_ai,Pathology; Protein,
2603.12886v1,A protocol for evaluating robustness to H&E staining variation in computational pathology models,Lydia A. Schönpflug; Nikki van den Berg; Sonali Andani; Nanda Horeweg; Jurriaan Barkey Wolf; Tjalling Bosse; Viktor H. Koelzer; Maxime W. Lafarge,2026-03-13,2026,cs.CV,http://arxiv.org/abs/2603.12886v1,https://arxiv.org/pdf/2603.12886v1,https://github.com/CTPLab/staining-robustness-evaluation,medical_ai,Pathology; Cancer,
